ID,Category,Latitude,Longitude
1,D,43.28656052,-72.66935038
2,D,39.38266758,-120.6531054
3,C,41.40548272,-73.28007088
4,C,41.31558107,-73.10970023
5,A,40.83841873,-73.81178667
6,A,48.92190419,-122.3125358
7,C,43.61574737,-73.51463533
8,D,41.74944012,-72.79663258
9,A,40.05837705,-75.13899015
10,A,33.97884498,-117.678706
11,D,41.54022287,-72.99136953
12,C,39.80043722,-76.07171688
13,C,41.48352153,-73.10849847
14,B,34.76185063,-118.7688084
15,A,43.494928,-73.3987423
16,B,38.1472531,-120.4544885
17,C,44.04191164,-73.07855536
18,A,43.35315944,-78.50837006
19,D,41.64633931,-78.68489369
20,D,41.63367308,-72.88365692
21,C,41.23296584,-74.33804862
22,B,39.70646262,-81.11381038
23,C,43.80265399,-78.09298601
24,A,30.84547255,-88.00039165
25,B,42.41382163,-78.91733737
26,D,41.63352752,-72.98956048
27,C,43.52204534,-78.11850766
28,C,41.27671215,-73.15558965
29,C,41.41886339,-73.16506151
30,A,41.00425498,-81.75329502
31,C,47.8858522,-121.2934216
32,C,41.57695757,-80.72748743
33,A,47.9870073,-122.1919057
34,A,43.05550571,-78.52930529
35,A,33.92768767,-116.8830673
36,C,41.59575769,-73.77356371
37,C,44.09162008,-71.61958952
38,D,42.91634789,-77.59502151
39,A,40.25868852,-74.76232338
40,B,40.78591217,-79.68279283
41,C,40.97324253,-73.26056167
42,D,33.60814078,-114.754622
43,A,37.60963746,-120.7384761
44,D,41.75702903,-72.54594897
45,C,34.67800642,-117.4652206
46,B,43.65537346,-70.97405654
47,A,37.28733848,-76.37263792
48,B,42.56620693,-71.54813197
49,D,38.58738313,-121.1739138
50,A,41.21092562,-81.33338551
51,C,34.84560137,-116.9011475
52,C,41.10804506,-123.6199014
53,A,41.97866486,-70.99495044
54,C,43.99870038,-85.73332979
55,A,47.78416121,-117.2430279
56,C,41.15791792,-80.03899288
57,C,40.99300981,-74.15374619
58,C,43.780764,-78.1186087
59,A,44.65942491,-73.12586709
60,B,40.65054726,-74.47630324
61,C,34.65058093,-117.8191973
62,C,43.7361613,-78.0571407
63,A,42.86292911,-72.88095489
64,D,47.69916331,-122.0134567
65,B,42.02425575,-72.57073825
66,C,40.67322948,-74.09425842
67,A,40.3256044,-75.12697246
68,A,40.97247107,-74.62437293
69,D,42.26710505,-71.27912095
70,C,41.31471669,-73.48234731
71,C,41.57389447,-73.13072153
72,A,47.39721925,-122.265303
73,C,41.40026864,-74.26399906
74,A,42.41897034,-85.40808956
75,C,49.65344554,-122.0726157
76,A,36.44536686,-80.67918214
77,D,43.64169687,-70.21021123
78,B,37.26458915,-75.67233685
79,C,43.43915725,-83.71416205
80,A,39.90230722,-74.93481588
81,A,43.32708193,-78.59786677
82,D,42.79938904,-83.77446096
83,D,41.47921779,-79.26009521
84,C,42.62735255,-70.68949545
85,B,39.16561,-76.830852
86,A,39.42049528,-76.58539872
87,D,41.58312542,-72.99942858
88,A,40.2497332,-75.4728288
89,A,36.09771083,-79.78898317
90,B,43.72495104,-74.71180216
91,B,43.31659216,-76.54265384
