,ID,Category,Latitude,Longitude,great_circle_distance,Origin: ID,Origin: Category,Origin: Latitude,Origin: Longitude
4,5,A,40.83841873,-73.81178667,0.0,5,A,40.83841873,-73.81178667
5,6,A,48.92190419,-122.3125358,0.0,6,A,48.92190419,-122.3125358
8,9,A,40.05837705,-75.13899015,0.0,9,A,40.05837705,-75.13899015
9,10,A,33.97884498,-117.678706,0.0,10,A,33.97884498,-117.678706
13,15,A,43.494928,-73.3987423,0.0,15,A,43.494928,-73.3987423
15,18,A,43.35315944,-78.50837006,0.0,18,A,43.35315944,-78.50837006
20,24,A,30.84547255,-88.00039165,0.0,24,A,30.84547255,-88.00039165
25,30,A,41.00425498,-81.75329502,0.0,30,A,41.00425498,-81.75329502
28,33,A,47.9870073,-122.1919057,0.0,33,A,47.9870073,-122.1919057
29,34,A,43.05550571,-78.52930529,0.0,34,A,43.05550571,-78.52930529
30,35,A,33.92768767,-116.8830673,0.0,35,A,33.92768767,-116.8830673
34,39,A,40.25868852,-74.76232338,0.0,39,A,40.25868852,-74.76232338
37,43,A,37.60963746,-120.7384761,0.0,43,A,37.60963746,-120.7384761
40,47,A,37.28733848,-76.37263792,0.0,47,A,37.28733848,-76.37263792
42,50,A,41.21092562,-81.33338551,0.0,50,A,41.21092562,-81.33338551
45,53,A,41.97866486,-70.99495044,0.0,53,A,41.97866486,-70.99495044
47,55,A,47.78416121,-117.2430279,0.0,55,A,47.78416121,-117.2430279
51,59,A,44.65942491,-73.12586709,0.0,59,A,44.65942491,-73.12586709
54,63,A,42.86292911,-72.88095489,0.0,63,A,42.86292911,-72.88095489
57,67,A,40.3256044,-75.12697246,0.0,67,A,40.3256044,-75.12697246
58,68,A,40.97247107,-74.62437293,0.0,68,A,40.97247107,-74.62437293
62,72,A,47.39721925,-122.265303,0.0,72,A,47.39721925,-122.265303
64,74,A,42.41897034,-85.40808956,0.0,74,A,42.41897034,-85.40808956
66,76,A,36.44536686,-80.67918214,0.0,76,A,36.44536686,-80.67918214
69,80,A,39.90230722,-74.93481588,0.0,80,A,39.90230722,-74.93481588
70,81,A,43.32708193,-78.59786677,0.0,81,A,43.32708193,-78.59786677
74,86,A,39.42049528,-76.58539872,0.0,86,A,39.42049528,-76.58539872
76,88,A,40.2497332,-75.4728288,0.0,88,A,40.2497332,-75.4728288
77,89,A,36.09771083,-79.78898317,0.0,89,A,36.09771083,-79.78898317
84,100,A,39.53142597,-80.09696453,0.0,100,A,39.53142597,-80.09696453
85,101,A,34.29040693,-117.2195731,0.0,101,A,34.29040693,-117.2195731
91,107,A,42.82276239,-83.49845791,0.0,107,A,42.82276239,-83.49845791
95,111,A,39.44588795,-76.47027814,0.0,111,A,39.44588795,-76.47027814
98,116,A,40.53363308,-76.69454226,0.0,116,A,40.53363308,-76.69454226
99,117,A,40.93747975,-73.72293525,0.0,117,A,40.93747975,-73.72293525
100,119,A,41.62276264,-71.22684136,0.0,119,A,41.62276264,-71.22684136
102,121,A,42.65751199,-71.65218691,0.0,121,A,42.65751199,-71.65218691
105,124,A,40.84309515,-73.80534585,0.0,124,A,40.84309515,-73.80534585
106,125,A,41.61842997,-71.57941253,0.0,125,A,41.61842997,-71.57941253
107,126,A,46.27178803,-123.640245,0.0,126,A,46.27178803,-123.640245
108,127,A,47.93277905,-122.0480909,0.0,127,A,47.93277905,-122.0480909
115,135,A,41.82712827,-81.31664263,0.0,135,A,41.82712827,-81.31664263
118,140,A,39.17449882,-76.41067998,0.0,140,A,39.17449882,-76.41067998
122,144,A,42.91228305,-82.74803135,0.0,144,A,42.91228305,-82.74803135
123,145,A,44.21257427,-71.95366993,0.0,145,A,44.21257427,-71.95366993
125,147,A,40.20010029,-75.13299571,0.0,147,A,40.20010029,-75.13299571
126,148,A,39.99440052,-83.89430568,0.0,148,A,39.99440052,-83.89430568
135,160,A,37.59788986,-119.8682197,0.0,160,A,37.59788986,-119.8682197
137,162,A,35.8572024,-119.0980399,0.0,162,A,35.8572024,-119.0980399
138,163,A,43.70618896,-70.41397004,0.0,163,A,43.70618896,-70.41397004
139,164,A,39.04195497,-121.025469,0.0,164,A,39.04195497,-121.025469
140,165,A,37.73615111,-121.7254229,0.0,165,A,37.73615111,-121.7254229
141,166,A,41.76602285,-83.40303515,0.0,166,A,41.76602285,-83.40303515
144,170,A,41.16800794,-72.79522206,0.0,170,A,41.16800794,-72.79522206
148,175,A,40.52634118,-79.98557176,0.0,175,A,40.52634118,-79.98557176
149,176,A,43.78942701,-70.10459309,0.0,176,A,43.78942701,-70.10459309
